top_category,enabled,category_path,title,xml_url,local_xml_url,html_url,type,priority,status,tags,language,cadence,owner,notes,last_update,last_checked,核心价值,信息密度,原创性,时效性,主要内容形式,情绪影响,适合使用场景,噪音程度,source_comment
Articles,Y,科技与编程,🔔科技频道[奇诺分享-ccino.org]⚡️,https://channel.ccino.org/rss.xml,,https://channel.ccino.org/,rss,P2,active,科技、VPS、开源、工具,zh,日更,,,刚刚,2026-05-01,VPS优惠与科技资讯的实时推送,低,低,强,碎片动态,带来FOMO,日常浏览,高,imported from myrss.tailscale.opml
Articles,Y,微信公众号,猴猴说话,http://192.168.1.6:8003/feed/MP_WXS_3279284299.atom,http://127.0.0.1:8003/feed/MP_WXS_3279284299.atom,http://192.168.1.6:8003/feed/MP_WXS_3279284299.atom,rss,P2,active,心理、生活方式,zh,不定,,,1天前,2026-05-02,用心理学概念解释现代人的情绪和关系困境，最近聚焦“扮演大人”等自我成长议题。,中,高,中,深度文章、观点评论,提供启发、缓解焦虑,情绪放松、学习积累、写作素材,低,local we-mp-rss; requested=猴猴说话; add_status=ADDED; recent=如果你也在“演”一个大人，一定要知道这个心理学概念丨次级皮肤 | 从SBTI、群体性自嘲，聊聊现代人的疲惫与压抑 | 我36岁，没啥出息，但我还能继续活着【人文十问】
Articles,Y,微信公众号,潦草学者,http://192.168.1.6:8003/feed/MP_WXS_3239649460.atom,http://127.0.0.1:8003/feed/MP_WXS_3239649460.atom,http://192.168.1.6:8003/feed/MP_WXS_3239649460.atom,rss,P2,active,社会、历史、生活方式,zh,不定,,,3天前,2026-05-02,以学者式视角观察社会、人文和日常经验，适合补充慢思考材料。,高,高,中,深度文章、观点评论,提供启发、引发沉思,周末阅读、写作素材、学习积累,低,local we-mp-rss; requested=潦草学者; add_status=ADDED; recent=不是写代码：普通人每天能用上的 Agent 自动化清单 | DeepseekV4实测体验 三大惊喜与遗憾 | 姚顺雨的第一份答卷：混元 Hy3 preview
Articles,Y,微信公众号,L先生说,http://192.168.1.6:8003/feed/MP_WXS_3015646136.atom,http://127.0.0.1:8003/feed/MP_WXS_3015646136.atom,http://192.168.1.6:8003/feed/MP_WXS_3015646136.atom,rss,P2,active,心理、生活方式、产品,zh,不定,,,1天前,2026-05-02,持续输出认知、效率和心理成长文章，适合把个人管理问题讲清楚。,高,高,中,深度文章、观点评论,提供启发，也可能带来一点自我要求,学习积累、写作素材、日常浏览,低,local we-mp-rss; requested=L先生说; add_status=ADDED; recent=2026年五一假期能做的5件小事 | 前额叶使用和保养指南 | 只需10分钟，就能让你感觉更好的小事
Articles,Y,微信公众号,常青说,http://192.168.1.6:8003/feed/MP_WXS_3944297233.atom,http://127.0.0.1:8003/feed/MP_WXS_3944297233.atom,http://192.168.1.6:8003/feed/MP_WXS_3944297233.atom,rss,P2,active,社会、心理、生活方式,zh,不定,,,318天前,2026-05-02,用清晰框架讨论个体成长、社会观察和生活选择，适合做长期思考素材。,中,高,中,深度文章、观点评论,提供启发、稳定心态,周末阅读、写作素材、学习积累,低,local we-mp-rss; requested=常青说; add_status=ADDED; recent=老常第二本AI新书上市！《成为AI高手》系统学习掌握AI技能！ | 无需邀请码！免费马上用上Manus级Agent！ | 老常的AI新书终于上市！《AI效率手册：从ChatGTP开启高效能》这一次系统掌握AI技能！
Articles,Y,微信公众号,啊桂实验室,http://192.168.1.6:8003/feed/MP_WXS_3097885397.atom,http://127.0.0.1:8003/feed/MP_WXS_3097885397.atom,http://192.168.1.6:8003/feed/MP_WXS_3097885397.atom,rss,P2,active,AI、产品、编程,zh,不定,,,38天前,2026-05-02,围绕 AI 工具、自动化和实验项目做实操分享，适合寻找可落地的玩法。,中,高,中,教程、项目发布、观点评论,提供启发、激发动手欲,项目调研、学习积累,中,local we-mp-rss; requested=啊桂实验室; add_status=ADDED; recent=2025年度总结（2） | 2025年度总结（1） | 最近常问自己的三个问题
Articles,Y,微信公众号,大问题Dialectic,http://192.168.1.6:8003/feed/MP_WXS_2391461928.atom,http://127.0.0.1:8003/feed/MP_WXS_2391461928.atom,http://192.168.1.6:8003/feed/MP_WXS_2391461928.atom,rss,P2,active,社会、历史、心理,zh,不定,,,2天前,2026-05-02,以哲学和社会议题切入大问题讨论，适合获得有结构的思辨材料。,高,高,中,视频更新、深度文章、观点评论,提供启发、引发思考,周末阅读、写作素材、学习积累,低,local we-mp-rss; requested=大问题Dialectic; add_status=ADDED; recent=大问题：如何克服人的异化？ | 大问题：真爱必须是无私的吗？ | 大问题：爱一个人需要理由吗？
Articles,Y,微信公众号,ONE字幕组,http://192.168.1.6:8003/feed/MP_WXS_3220087653.atom,http://127.0.0.1:8003/feed/MP_WXS_3220087653.atom,http://192.168.1.6:8003/feed/MP_WXS_3220087653.atom,rss,P2,active,娱乐、生活方式,zh,不定,,,14天前,2026-05-02,提供影视、演讲和海外内容相关更新，适合轻量补充文化内容。,中,中,中,视频更新、短资讯,放松、带来好奇,情绪放松、日常浏览,中,local we-mp-rss; requested=ONE字幕组; add_status=ADDED; recent=比单身更可怕的，是和一个人反复拉扯 | 强烈建议：不要掉入自证陷阱 | 幸福的关键，从来不是过度寻找“对的人”
Articles,Y,微信公众号,everystep,http://192.168.1.6:8003/feed/MP_WXS_2396013984.atom,http://127.0.0.1:8003/feed/MP_WXS_2396013984.atom,http://192.168.1.6:8003/feed/MP_WXS_2396013984.atom,rss,P2,active,生活方式、心理,zh,不定,,,16天前,2026-05-02,关注个体行动、成长和生活记录，适合低压力地积累行动感。,中,中,中,观点评论、碎片动态,提供陪伴感、轻微激励,情绪放松、日常浏览,中,local we-mp-rss; requested=everystep; add_status=ADDED; recent=什么是事件循环：为什么 exec() 一跑，Qt 程序就“活”了 | 用纯 C++ 手写一个迷你信号/槽系统 | QPointer 和传统指针有什么区别：为什么 Qt 需要“会自动变空”的指针
Articles,Y,微信公众号,走路,http://192.168.1.6:8003/feed/MP_WXS_3097360004.atom,http://127.0.0.1:8003/feed/MP_WXS_3097360004.atom,http://192.168.1.6:8003/feed/MP_WXS_3097360004.atom,rss,P2,active,生活方式、心理,zh,不定,,,32天前,2026-05-02,围绕日常行走、生活观察和自我状态提供慢节奏内容。,低,中,中,观点评论、碎片动态,放松、降低信息压力,情绪放松、日常浏览,低,local we-mp-rss; requested=走路; add_status=ADDED; recent=超越百岁丨长寿不是“活多久”，而是“健康活多久” | 看世界丨中午只吃三片面包，荷兰饮食让我震惊 | 注意力问题的本质是人的存在问题
Articles,Y,社评,Vista看天下,https://plink.anyfeeder.com/weixin/vistaweek,,http://weixin.sogou.com/weixin?type=1&s_from=input&query=Vista%E7%9C%8B%E5%A4%A9%E4%B8%8B,rss,P2,active,新闻、时事、社会,zh,日更,,,10小时前,2026-05-01,有温度的新闻故事与社会热点评论,中,中,强,短资讯、观点评论,引发思考,日常浏览,中,imported from myrss.tailscale.opml
Articles,Y,社评,Tinyfool的个人网站,https://codechina.org/feed/,,https://codechina.org/,rss,P2,active,AI、写作、小说、科技评论,zh,不定,,,94天前,2026-05-01,科技老兵的深度评论与AI时代思考,高,高,弱,深度文章、观点评论,提供启发、引发思考,学习积累、写作素材,低,imported from myrss.tailscale.opml
Articles,Y,社评,刘夙的科技世界,https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json,,https://wewe-rss.jerrylf.uk/feeds/MP_WXS_3002603832.json,rss,P2,active,科技、社会、历史,,,,,382天前,2026-05-02,以科普、人文和社会观察切入，既有知识含量，也带有鲜明的作者判断。,中,高,弱,深度文章、观点评论,提供启发，也会引发一点辩论欲,周末阅读、写作素材、学习积累,低,imported from myrss.tailscale.opml
Articles,Y,社评,三联生活周刊 Lifeweek,https://the.bi/s/rawbbyu2zgmy32,,https://the.bi/s,rss,P2,active,,,,,,失效,2026-05-02,,,,,,,,,imported from myrss.tailscale.opml
Articles,Y,社评,时代观察 - 乌有之乡网刊,https://macmini-rsshub.tail99ecfa.ts.net/wyzxwk/article,http://127.0.0.1:1200/wyzxwk/article,http://www.wyzxwk.com/Article/shidai,rss,P2,dead,,,,,,失效,2026-05-02,,,,,,,,,imported from myrss.tailscale.opml
Articles,Y,国内外资讯,一觉醒来发生了什么 - 即刻圈子,https://macmini-rsshub.tail99ecfa.ts.net/jike/topic/553870e8e4b0cafb0a1bef68,http://127.0.0.1:1200/jike/topic/553870e8e4b0cafb0a1bef68,https://m.okjike.com/topics/553870e8e4b0cafb0a1bef68,rss,P2,active,社会、资讯,zh,日更,,,15小时前,2026-05-01,每日清晨国内外要闻速览,中,低,强,短资讯,提供信息、带来FOMO,日常浏览,中,imported from myrss.tailscale.opml
Articles,Y,国内外资讯,东西智库 – 专注中国制造业高质量发展,https://macmini-rsshub.tail99ecfa.ts.net/dx2025,http://127.0.0.1:1200/dx2025,https://www.dx2025.com/,rss,P2,dead,,,,,,失效,2026-05-02,,,,,,,,,imported from myrss.tailscale.opml
Articles,Y,国内政策,中国政府网 - 最新政策,https://macmini-rsshub.tail99ecfa.ts.net/gov/zhengce/zuixin,http://127.0.0.1:1200/gov/zhengce/zuixin,https://www.gov.cn/zhengce/zuixin/,rss,P2,dead,社会、财经,,,,,5天前,2026-05-02,官方发布最新政策文件与权威口径，适合追踪国内政策变化。,中,低,强,短资讯、政策发布,提供信息，偏冷静务实,项目调研、学习积累、政策追踪,低,imported from myrss.tailscale.opml
Articles,Y,国内政策,- 政府文件库,https://macmini-rsshub.tail99ecfa.ts.net/gov/zhengce/zhengceku/bmwj,http://127.0.0.1:1200/gov/zhengce/zhengceku/bmwj,http://www.gov.cn/zhengce/zhengceku/bmwj/,rss,P2,active,政策、社会,zh,日更,,,88天前,2026-05-01,中国政府最新政策文件汇总,中,低,强,短资讯,提供信息,项目调研、学习积累,低,imported from myrss.tailscale.opml
Articles,Y,,不如读书,https://wuyagege.substack.com/feed,,https://wuyagege.substack.com/,rss,P2,active,读书、政治、社会评论,zh,不定,,,24天前,2026-05-01,读书无禁区的深度政论与人文思考,高,高,中,深度文章,引发思考,学习积累、写作素材,低,imported from myrss.tailscale.opml
Articles,Y,,Lukas Petersson’s blog,https://lukaspetersson.com/feed.xml,,https://lukaspetersson.github.io/,rss,P2,active,AI、安全、技术,en,不定,,,139天前,2026-05-01,AI安全与对齐的深度技术思考,高,高,弱,深度文章,引发思考,学习积累、写作素材,低,imported from myrss.tailscale.opml
Articles,Y,,一亩三分地 - 日本热门帖子,https://macmini-rsshub.tail99ecfa.ts.net/1point3acres/category/%E6%97%A5%E6%9C%AC,http://127.0.0.1:1200/1point3acres/category/%E6%97%A5%E6%9C%AC,https://instant.1point3acres.com/category/%E6%97%A5%E6%9C%AC,rss,P2,dead,社会、生活方式,,,,,2天前,2026-05-02,集中呈现在美华人关于日本旅行、签证和生活信息的实时问答，实操经验很密集。,中,中,强,问答帖子、碎片动态、经验分享,实用为主，但因为求助帖较多，容易带来一点信息焦虑,日常浏览、出行准备、经验检索,高,imported from myrss.tailscale.opml
Articles,Y,,偷懒爱好者周刊,https://toolight.cn/open/p/weekly/atom.xml,,https://echosoar.github.io/weekly/,rss,P2,active,科技、产品、AI,,,,,3天前,2026-05-02,定期筛选值得看的技术、产品与互联网链接，是高质量信息流的省时入口。,高,中,中,周报、链接精选,提供启发，容易顺手点开很多延伸阅读,周末阅读、学习积累、写作素材,低,imported from myrss.tailscale.opml
Articles,Y,,GeekPlux Letters,https://letters.geekplux.com/rss/,,https://letters.geekplux.com/,rss,P2,active,技术、财富、个人提升,zh,已停更,,,516天前,2026-05-01,技术财富与个人成长的探索笔记,中,高,弱,周报,提供启发,学习积累,低,imported from myrss.tailscale.opml
Articles,Y,,信息差——独立开发者出海周刊,https://gapis.money/rss.xml,,https://gapis.money/,rss,P2,active,,,,,,失效,2026-05-02,,,,,,,,,imported from myrss.tailscale.opml
Articles,Y,,joojen Zhou 的网站,https://joojen.com/feed,,https://joojen.com/,rss,P2,active,成长、健康、生活、人生系统,zh,不定,,,13天前,2026-05-01,升级人生系统的实践思考与经验分享,中,高,中,深度文章,提供启发、放松,情绪放松、周末阅读,低,imported from myrss.tailscale.opml
Articles,Y,,周刊 归档 - 酷口家数字花园,https://weqoocu.com/feed,,https://weqoocu.com/tag/%E5%91%A8%E5%88%8A,rss,P2,active,笔记、知识管理、数字花园、卡片盒,zh,周刊,,,7天前,2026-05-01,卡片盒笔记法与数字花园建设实践记录,中,中,中,周报,提供启发,学习积累,低,imported from myrss.tailscale.opml
Articles,Y,,莫尔索随笔,https://liduos.com/atom.xml,,https://liduos.com/atom.xml,rss,P2,active,AI、周刊、智能体、技术,zh,周刊,,,未知,2026-05-01,AI与智能体领域深度周刊，追踪前沿动态,高,中,强,周报,提供启发、带来FOMO,学习积累、项目调研、日常浏览,低,imported from myrss.tailscale.opml
Articles,Y,,Ahead of AI,https://magazine.sebastianraschka.com/feed,,https://magazine.sebastianraschka.com/,rss,P2,active,AI、机器学习、研究,en,周刊,,,13天前,2026-05-01,Sebastian Raschka的ML/AI前沿研究深度解读,高,高,强,深度文章、教程,提供启发,学习积累、项目调研,低,imported from myrss.tailscale.opml
Articles,Y,,歸藏的AI工具箱,https://wechat2rss.bestblogs.dev/feed/1fc32fedbf5da37e8e819a9298ae80724c12cb03.xml,,https://https//wechat2rss.bestblogs.dev/feed/1fc32fedbf5da37e8e819a9298ae80724c12cb03.xml,rss,P2,active,,,,,,失效,2026-05-02,,,,,,,,,imported from myrss.tailscale.opml
Articles,Y,,Kubernetes Blog,https://kubernetes.io/feed.xml,,https://kubernetes.io/,rss,P2,active,Kubernetes、云原生、容器,en,日更,,,19小时前,2026-05-01,Kubernetes官方最新功能发布与社区动态,中,高,强,项目发布、深度文章,提供启发,学习积累、项目调研,低,imported from myrss.tailscale.opml
Articles,Y,,AI洞察日报 RSS Feed,https://justlovemaki.github.io/CloudFlare-AI-Insight-Daily/rss.xml,,https://ai.hubtoday.app/,rss,P2,active,AI、日报、资讯,zh,日更,,,4小时前,2026-05-01,每日AI领域产品更新与研究进展速览,高,低,强,短资讯,带来FOMO,日常浏览,低,imported from myrss.tailscale.opml
Articles,Y,党政信息,最新发布_共产党员网,https://macmini-rsshub.tail99ecfa.ts.net/12371/zxfb,http://127.0.0.1:1200/12371/zxfb,https://www.12371.cn/zxfb/,rss,P2,active,政策、社会,zh,日更,,,1天前,2026-05-01,共产党员网最新党政动态与政策发布,中,中,强,短资讯,提供信息,日常浏览、学习积累,低,imported from myrss.tailscale.opml
Articles,Y,党政信息,新华社新闻_新华网,https://plink.anyfeeder.com/newscn/whxw,,http://www.news.cn/xhsxw.htm,rss,P2,active,新闻、时政、国内,zh,日更,,,刚刚,2026-05-01,权威及时的中国官方新闻与政策发布,中,高,强,短资讯,中性,日常浏览,中,imported from myrss.tailscale.opml
Articles,Y,党政信息,半月谈快报,https://data.getpodcast.xyz/data/ximalaya/9604235.xml,,https://www.ximalaya.com/album/9604235/,rss,P2,active,新闻、时政、播客,zh,日更,,,1天前,2026-05-01,新华社主办的每日时事音频摘要,中,高,强,短资讯,中性,日常浏览,中,imported from myrss.tailscale.opml
Articles,Y,党政信息,- 求是网,https://plink.anyfeeder.com/qstheory,,http://www.qstheory.cn/v9zhuanqu/toutiao/index.htm,rss,P2,active,时政、理论、党政,zh,日更,,,1天前,2026-05-01,中共中央委员会机关刊物的核心文章,高,高,强,深度文章,中性,学习积累,低,imported from myrss.tailscale.opml
Articles,Y,,学习一下订阅源,https://macmini-rsshub.tail99ecfa.ts.net/follow/profile/158883963341209600,http://127.0.0.1:1200/follow/profile/158883963341209600,https://app.follow.is/share/users/158883963341209600,rss,P2,active,科技、资讯、综合,zh,日更,,,有更新(日期未知),2026-05-01,他人整理的精选RSS订阅集合，内容发现的好途径,中,低,强,短资讯,提供信息,日常浏览,高,imported from myrss.tailscale.opml
Articles,Y,,Lex Fridman Podcast,https://lexfridman.com/feed/podcast/,,https://lexfridman.com/,rss,P2,active,AI、科技、播客、哲学,en,周刊,,,21天前,2026-05-01,与各界顶尖人物的深度长对话访谈,高,高,中,视频更新,提供启发,学习积累、情绪放松,低,
Articles,Y,,Podnews Daily - podcast industry news,https://podnews.net/rss,,https://podnews.net/,rss,P2,active,播客、行业、媒体,en,日更,,,1小时前,2026-05-01,播客行业每日新闻与趋势分析,中,中,强,短资讯,提供启发,日常浏览,低,
Articles,Y,,新智元,https://raw.githubusercontent.com/osnsyc/Wechat-Scholar/main/channels/gh_108f2a2a27f4.xml,,https://mp.weixin.qq.com/,rss,P2,active,AI、科技、资讯,zh,日更,,,8小时前,2026-05-01,AI与前沿科技领域中文资讯速递,中,中,强,短资讯、观点评论,带来FOMO,日常浏览,中,
Articles,Y,,机器之心,https://www.jiqizhixin.com/rss,,https://www.jiqizhixin.com/,rss,P2,active,,,,,,失效,2026-05-02,,,,,,,,,
Articles,Y,,腾讯研究院,https://wechat2rss.bestblogs.dev/feed/6152301e0978bffb0a8284cab339262b9764dcfb.xml,,https://wechat2rss.bestblogs.dev/feed/6152301e0978bffb0a8284cab339262b9764dcfb.xml,rss,P2,active,科技、研究、产业、政策,zh,日更,,,1天前,2026-05-01,腾讯旗下智库的科技与产业深度研究,高,高,强,深度文章,提供启发,学习积累、项目调研、写作素材,低,
Articles,Y,,极客公园,https://www.geekpark.net/rss,,http://mainssl.geekpark.net/rss.rss,rss,P2,active,科技、产品、创业、资讯,zh,日更,,,13小时前,2026-05-01,科技产品与商业前沿新闻,中,中,强,短资讯、观点评论,带来FOMO,日常浏览,中,
